nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,join_key
18-FDG RIM,250 MBQ / ML,SOLUTION INJECTABLE,FLUDESOXYGLUCOSE (18F),DIAGNOSTIC-IMAGERIE,RIM PHARMA,Commercialisé,AMM ENREGISTREE,FLACON MONO DOSE DE 15 ML,RX,4303.0,4018.0,3827.33,0,,18FDGRIM|250MBQML|SOLUTIONINJECTABLE
18F PSMA RIM,250 MBQ / ML,SOLUTION INJECTABLE,[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,RIM PHARMA,AMM sans prix,AMM ENREGISTREE,BOITE D'UN FLACON MONODOSE DE 15 ML,RX,,,,0,,18FPSMARIM|250MBQML|SOLUTIONINJECTABLE
18F PSMA RIM,250 MBQ / ML,SOLUTION INJECTABLE,[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,RIM PHARMA,AMM sans prix,AMM ENREGISTREE,BOITE D'UN FLACON MULTIDOSE DE 15 ML,RX,,,,0,,18FPSMARIM|250MBQML|SOLUTIONINJECTABLE
18F-PSMA CYCLOPHARMA,1300 MBQ / ML,"SOLUTION INJECTABLE, FLACON MULTIDOSE DE 10 ML DE SOLUTION MAXIMUM.",[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,CYCLOPHARMA,AMM sans prix,AMM ENREGISTREE,"FLACON MULTIDOSE EN VERRE DE 15 ML , CONTIENT UN VOLUME COMPRIS ENTRE 0.5 ET 10 ML DE SOLUTION",RX,,,,0,,18FPSMACYCLOPHARMA|1300MBQML|SOLUTIONINJECTABLE.FLACONMULTIDOSEDE10MLDESOLUTIONMAXIMUM.
A.V.T.,"0,5 G / 0,002 G / 0,02 G",COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,LAPROPHAN,Commercialisé AO,AMM ENREGISTREE,BOITE DE 10,,10.7,6.7,6.4,0,,A.V.T.|0.5G0.002G0.02G|COMPRIMEEFFERVESCENT
A.V.T.,"0,5 G / 0,002 G / 0,02 G",COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,LAPROPHAN,Commercialisé,AMM ENREGISTREE,BOITE DE 20,,19.1,12.0,11.4,0,,A.V.T.|0.5G0.002G0.02G|COMPRIMEEFFERVESCENT
ABACT,1000 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,,,,0,,ABACT|1000MG|POUDREETSOLVANTPOURPREPARATIONINJECTABLE
ABACT,250 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,,,,0,,ABACT|250MG|POUDREETSOLVANTPOURPREPARATIONINJECTABLE
ABACT,500 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,,,,0,,ABACT|500MG|POUDREETSOLVANTPOURPREPARATIONINJECTABLE
ABBOTICINE,200 MG,GRANULE POUR SUSPENSION BUVABLE,ERYTHROMYCINE (ETHYLSUCCINATE),INFECTIOLOGIE-PARASITOLOGIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 60 ML,PP,25.1,15.7,14.94,0,,ABBOTICINE|200MG|GRANULEPOURSUSPENSIONBUVABLE
