code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique_code,classe_therapeutique,taux_remboursement_cnss,dosage_text,join_key
6118010138546,RIM,18-FDG RIM,FLUDESOXYGLUCOSE (18F),250BQ,ML,SOLUTION INJECTABLE,1 FLACON MONO DOSE 15 ML,4303.0,4018.0,,A,PRODUITS POUR DIAGNOSTIC,0,250BQ ML,18FDGRIM|250BQML|SOLUTIONINJECTABLE
6118000010050,MAPHAR,ABBOTICINE,ERYTHROMYCINE,200,MG,GRANULE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,25.1,15.7,25.1,A,MACROLIDE,70,200 MG,ABBOTICINE|200MG|GRANULEPOURSUSPENSIONBUVABLE
6118001183203,MAPHAR,ABILIFY 10 MG,ARIPIPRAZOLE,10,MG,COMPRIME,1 BOITE 28 COMPRIME,1200.0,927.0,,A,ANTIPSYCHOTIQUE,0,10 MG,ABILIFY10MG|10MG|COMPRIME
6118001183210,MAPHAR,ABILIFY 15 MG,ARIPIPRAZOLE,15,MG,COMPRIME,1 BOITE 28 COMPRIME,1200.0,927.0,,A,ANTIPSYCHOTIQUE,0,15 MG,ABILIFY15MG|15MG|COMPRIME
6118000440567,KEMIPHARM,ABIP 15 MG,ARIPIPRAZOLE,15,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,372.0,247.0,372.0,A,ANTIPSYCHOTIQUE,70,15 MG,ABIP15MG|15MG|COMPRIMEPELLICULE
6118000440550,KEMIPHARM,ABIP 15 MG,ARIPIPRAZOLE,15,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE,268.0,168.0,268.0,A,ANTIPSYCHOTIQUE,70,15 MG,ABIP15MG|15MG|COMPRIMEPELLICULE
6118001330867,AMANYS PHARMA,ABIRANAT 250 MG,ACETATE D'ABIRATERONE,250,MG,COMPRIME,1 FLACON 120 COMPRIME,10411.0,10215.0,10411.0,A,ANTINEOPLASIQUE ET IMMUNOMODULATEUR,70,250 MG,ABIRANAT250MG|250MG|COMPRIME
6118000420422,ATLAS PHARM,ABIRATERONE GT 250 MG,ACETATE D'ABIRATERONE,250,MG,COMPRIME,1 BOITE 120 COMPRIME,10411.0,10215.0,10411.0,A,ANTINEOPLASIQUE ET IMMUNOMODULATEUR,70,250 MG,ABIRATERONEGT250MG|250MG|COMPRIME
6118001072330,SOTHEMA,ABSTRAL 100ΜG,FENTANYL,100,ΜG,COMPRIME SUBLINGUAL,1 BOITE 10 COMPRIME SUBLINGUAL,876.0,582.0,876.0,B,ANALGESIQUE OPIOIDE,70,100 ΜG,ABSTRAL100G|100G|COMPRIMESUBLINGUAL
6118001072347,SOTHEMA,ABSTRAL 200ΜG,FENTANYL,200,ΜG,COMPRIME SUBLINGUAL,1 BOITE 10 COMPRIME SUBLINGUAL,876.0,582.0,876.0,B,ANALGESIQUE OPIOIDE,70,200 ΜG,ABSTRAL200G|200G|COMPRIMESUBLINGUAL
6118001072354,SOTHEMA,ABSTRAL 400ΜG,FENTANYL,400,ΜG,COMPRIME SUBLINGUAL,1 BOITE 10 COMPRIME SUBLINGUAL,876.0,582.0,876.0,B,ANALGESIQUE OPIOIDE,70,400 ΜG,ABSTRAL400G|400G|COMPRIMESUBLINGUAL
6118010134258,LAPROPHAN,ACARBOSE LAPROPHAN,ACARBOSE,50,MG,COMPRIME,1 BOITE 30 COMPRIME,42.2,26.4,,A,ANTIDIABETIQUES,0,50 MG,ACARBOSELAPROPHAN|50MG|COMPRIME
6118010134241,LAPROPHAN,ACARBOSE LAPROPHAN,ACARBOSE,100,MG,COMPRIME,1 BOITE 30 COMPRIME,64.4,40.2,,A,ANTIDIABETIQUES,0,100 MG,ACARBOSELAPROPHAN|100MG|COMPRIME
6118010139901,LAPROPHAN,ACARBOSE LAPROPHAN,ACARBOSE,100,MG,COMPRIME,1 BOITE 90 COMPRIME,166.1,103.8,,A,ANTIDIABETIQUES,0,100 MG,ACARBOSELAPROPHAN|100MG|COMPRIME
6118010139918,LAPROPHAN,ACARBOSE LAPROPHAN,ACARBOSE,50,MG,COMPRIME,1 BOITE 90 COMPRIME,109.0,68.1,,A,ANTIDIABETIQUES,0,50 MG,ACARBOSELAPROPHAN|50MG|COMPRIME
6118000340669,MC PHARMA,ACARD 50 MG,LOSARTAN,50,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,77.2,48.2,77.2,A,ANTAGONISTE DE L'ANGIOTENSINE II,70,50 MG,ACARD50MG|50MG|COMPRIMEPELLICULE
6118000340652,MC PHARMA,ACARD 50 MG,LOSARTAN,50,MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE,40.0,25.0,40.0,A,ANTAGONISTE DE L'ANGIOTENSINE II,70,50 MG,ACARD50MG|50MG|COMPRIMEPELLICULE
6118001170371,PFIZER,ACCUPRIL,QUINAPRIL,5,MG,COMPRIME ENROBE SECABLE,1 BOITE 28 COMPRIME ENROBE,37.5,23.4,37.5,A,INHIBITEUR DE L ENZYME DE CONVERSION,70,5 MG,ACCUPRIL|5MG|COMPRIMEENROBESECABLE
