nom,dci,dosage,forme,presentation,laboratoire,classe_therapeutique,type_produit,statut_commercialisation,statut_amm,ppv,ph,pfht,tva,code_cnops,prix_base_remboursement_cnops,taux_remboursement_cnops,source
18-FDG RIM,FLUDESOXYGLUCOSE (18F),250 MBQ / ML,SOLUTION INJECTABLE,FLACON MONO DOSE DE 15 ML,RIM PHARMA,DIAGNOSTIC-IMAGERIE,RX,Commercialisé,AMM ENREGISTREE,4303.0,4018.0,3827.33,0.0,,,,ammps
18F PSMA RIM,[18F] PSMA-1007,250 MBQ / ML,SOLUTION INJECTABLE,BOITE D'UN FLACON MONODOSE DE 15 ML,RIM PHARMA,DIAGNOSTIC-IMAGERIE,RX,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
18F PSMA RIM,[18F] PSMA-1007,250 MBQ / ML,SOLUTION INJECTABLE,BOITE D'UN FLACON MULTIDOSE DE 15 ML,RIM PHARMA,DIAGNOSTIC-IMAGERIE,RX,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
18F-PSMA CYCLOPHARMA,[18F] PSMA-1007,1300 MBQ / ML,"SOLUTION INJECTABLE, FLACON MULTIDOSE DE 10 ML DE SOLUTION MAXIMUM.","FLACON MULTIDOSE EN VERRE DE 15 ML , CONTIENT UN VOLUME COMPRIS ENTRE 0.5 ET 10 ML DE SOLUTION",CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,RX,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
A-GRAM,AMOXICILLINE,250 MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,,,GENERIQUE,,,,,,,6118010000270,32.7,70.0,cnops
A-GRAM,AMOXICILLINE,500 MG,GELULE,1 BOITE 12 GELULE,,,GENERIQUE,,,,,,,6118010000263,56.85,70.0,cnops
A-GRAM,AMOXICILLINE,500 MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,,,GENERIQUE,,,,,,,6118010000287,47.6,70.0,cnops
A.V.T.,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),"0,5 G / 0,002 G / 0,02 G",COMPRIME EFFERVESCENT,BOITE DE 10,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,,Commercialisé AO,AMM ENREGISTREE,10.7,6.7,6.4,0.0,,,,ammps
A.V.T.,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),"0,5 G / 0,002 G / 0,02 G",COMPRIME EFFERVESCENT,BOITE DE 20,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,,Commercialisé,AMM ENREGISTREE,19.1,12.0,11.4,0.0,,,,ammps
ABACT,AMPICILLINE,1000 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,PHARMED,INFECTIOLOGIE-PARASITOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ABACT,AMPICILLINE,250 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,PHARMED,INFECTIOLOGIE-PARASITOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ABACT,AMPICILLINE,500 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,PHARMED,INFECTIOLOGIE-PARASITOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ABBOTICINE,ERYTHROMYCINE (ETHYLSUCCINATE),200 MG,GRANULE POUR SUSPENSION BUVABLE,BOITE DE 1 FLACON DE 60 ML,MAPHAR,INFECTIOLOGIE-PARASITOLOGIE,PP,Non Commercialisé,AMM ENREGISTREE,25.1,15.7,14.94,0.0,6118000010050,26.8,70.0,ammps+cnops
ABILIFY,ARIPIPRAZOLE,10 MG,COMPRIME,BOITE DE 28,MAPHAR,PSYCHIATRIE,PP,Non Commercialisé,AMM ENREGISTREE,1200.0,927.0,883.18,0.0,,,,ammps
ABILIFY,ARIPIPRAZOLE,15 MG,COMPRIME,BOITE DE 28,MAPHAR,PSYCHIATRIE,PP,Non Commercialisé,AMM ENREGISTREE,1200.0,927.0,883.18,0.0,,,,ammps
ABILIFY 10 MG,ARIPIPRAZOLE,10 MG,COMPRIME,1 BOITE 28 COMPRIME,,,PRINCEPS,,,,,,,6118001183203,1500.0,0.0,cnops
ABILIFY 15 MG,ARIPIPRAZOLE,15 MG,COMPRIME,1 BOITE 28 COMPRIME,,,PRINCEPS,,,,,,,6118001183210,1500.0,0.0,cnops
ABIP,ARIPIPRAZOLE,15 MG,COMPRIMES PELLICULES,BOITE DE 20 COMPRIMES PELLICULES,SUN PHARMACEUTICALS NORTH AFRICA,PSYCHIATRIE,GN,Non Commercialisé,AMM ENREGISTREE,268.0,168.0,160.0,0.0,,,,ammps
ABIP,ARIPIPRAZOLE,15 MG,COMPRIMES PELLICULES,BOITE DE 30 COMPRIMES PELLICULES,SUN PHARMACEUTICALS NORTH AFRICA,PSYCHIATRIE,GN,Commercialisé,AMM ENREGISTREE,372.0,247.0,236.0,0.0,,,,ammps
ABIRANAT,ABIRATERONE (ACETATE),250 MG,COMPRIME,BOITE D’UN FLACON DE 120 COMPRIMES.,AMANYS PHARMA,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,10411.0,10215.0,9815.0,0.0,,,,ammps
ABIRATERONE GT,ABIRATERONE (ACETATE),250 MG,COMPRIME,BOITE DE 1 FLACON DE 120,ATLAS PHARM,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,10411.0,10215.0,9815.0,0.0,,,,ammps
ABSTRAL,FENTANYL,100 ΜG,COMPRIME SUBLINGUAL,BOITE DE 10,SOTHEMA,ANESTHESIE-REANIMATION,PP,Commercialisé,AMM ENREGISTREE,876.0,582.0,554.62,0.0,,,,ammps
ABSTRAL,FENTANYL,200 ΜG,COMPRIME SUBLINGUAL,BOITE DE 10,SOTHEMA,ANESTHESIE-REANIMATION,PP,Commercialisé,AMM ENREGISTREE,876.0,582.0,554.62,0.0,,,,ammps
ABSTRAL,FENTANYL,400 ΜG,COMPRIME SUBLINGUAL,BOITE DE 10,SOTHEMA,ANESTHESIE-REANIMATION,PP,Non Commercialisé,AMM ENREGISTREE,876.0,582.0,554.62,0.0,,,,ammps
ACARBOSE LAPROPHAN,ACARBOSE,100 MG,COMPRIME,BOITE DE 30,LAPROPHAN,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,64.4,40.2,38.33,0.0,,,,ammps
ACARBOSE LAPROPHAN,ACARBOSE,100 MG,COMPRIME,BOITE DE 90,LAPROPHAN,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,166.1,103.8,98.89,0.0,,,,ammps
ACARBOSE LAPROPHAN,ACARBOSE,50 MG,COMPRIME,BOITE DE 30,LAPROPHAN,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,42.2,26.4,25.15,0.0,,,,ammps
ACARBOSE LAPROPHAN,ACARBOSE,50 MG,COMPRIME,BOITE DE 90,LAPROPHAN,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,109.0,68.1,64.88,0.0,,,,ammps
ACARD,LOSARTAN (POTASSIQUE),50 MG,COMPRIME PELLICULE,BOITE DE 14,MC PHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,40.0,25.0,23.79,0.0,,,,ammps
ACARD,LOSARTAN (POTASSIQUE),50 MG,COMPRIME PELLICULE,BOITE DE 28,MC PHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,77.2,48.2,45.96,0.0,,,,ammps
ACCUPRIL,QUINAPRIL,20 MG,COMPRIME,BOITE DE 28,PFIZER,,PP,Retiré du Marché,AMM RETIREE,70.1,43.8,41.72,0.0,,,,ammps
ACCUPRIL,QUINAPRIL,20 MG,COMPRIME ENROBE SECABLE,1 BOITE 28 COMPRIME ENROBE,,,PRINCEPS,,,,,,,6118001170388,103.5,70.0,cnops
ACCUPRIL,QUINAPRIL,5 MG,COMPRIME,BOITE DE 28,PFIZER,,PP,Retiré du Marché,AMM RETIREE,37.5,23.4,22.31,0.0,,,,ammps
ACCUPRIL,QUINAPRIL,5 MG,COMPRIME ENROBE SECABLE,1 BOITE 28 COMPRIME ENROBE,,,PRINCEPS,,,,,,,6118001170371,41.7,70.0,cnops
ACCURECIL,FLUOROURACILE,250 MG,SOLUTION POUR INJECTION / PERFUSION IV,BOITE D'UN FLACON DE 5 ML,ZENITH PHARMA,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,27.0,16.9,16.1,0.0,,,,ammps
ACCURECIL,FLUOROURACILE,500 MG,SOLUTION POUR INJECTION / PERFUSION IV,BOITE D'UN FLACON DE 10 ML,ZENITH PHARMA,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,45.9,28.7,27.3,0.0,,,,ammps
ACEPRIL,PERINDOPRIL (TERT-BUTYLAMINE),2 MG,COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,44.0,27.5,26.19,0.0,6118010118098,44.0,70.0,ammps+cnops
ACEPRIL,PERINDOPRIL (TERT-BUTYLAMINE),2 MG,COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,44.0,27.5,26.19,0.0,6118000130789,44.0,70.0,ammps+cnops
