id,nom,type_etablissement,telephone,adresse,ville,garde
36,Pharmacie 2000,pharmacie,0528842597,"bd moulay abdallah, résid. karam, a coté de la résidence isni face aux pompiers AGADIR",Agadir,
112,Pharmacie Adlouni,pharmacie,0528321112,hay Al Houda bloc K n°370 AGADIR,Agadir,garde 24h/24
199,Pharmacie Adouz,pharmacie,0528211874,"hay essalam, imm. bicha, cplxe azrou AGADIR",Agadir,
433,Pharmacie Al Andalous,pharmacie,0528217759,"2, bd Al Moukaouama, imm. Asma Agadir",Agadir,
435,Pharmacie Al Andaloussia,pharmacie,0528292999,résidence nasr-3 (bicha) près de jet sakan Agadir,Agadir,
641,Pharmacie Al Imam AlKastalani,pharmacie,0528224258,bd Abdallah Ben Yacine bloc 13 n° 17 cité Sidi Mohamed Agadir,Agadir,
656,Pharmacie Al Massahat,pharmacie,0528290671,"264, quartier tilila Agadir",Agadir,
663,Pharmacie Al Oulya,pharmacie,0528205236,7 hay taddart - secteur a lot 5 anza Agadir,Agadir,
836,Pharmacie AlManar,pharmacie,0528213545,"hay Essalam, rue 952 n°16 Agadir",Agadir,
844,Pharmacie AlManzah,pharmacie,0528844443,"bd cheikh saadi ang. av des far, entrée charaf - aswak salam et belvie talborjt Agadir",Agadir,
940,Pharmacie AlMichwar,pharmacie,0528280728,Hay Bensergao lot. 297 quartier AlWifaq Agadir,Agadir,garde 24h/24
944,Pharmacie AlMostawsaf,pharmacie,0528283319,Pharmacie AlMostawsaf AGADIR,Agadir,
680,Pharmacie Alamal,pharmacie,0528843926,bd Cheikh Saadi imm. Tighmirt Agadir,Agadir,
755,Pharmacie Alikhlass,pharmacie,0529124393,24 X rue Abdallah Ben Hsain Cité Essalam Agadir,Agadir,
832,Pharmacie Alma Vita,pharmacie,0528323377,hay Al Houda bd Almahdi Ben Abboud Agadir,Agadir,
1218,Pharmacie Anouar,pharmacie,0528281629,56 Hay Bensergao bloc A Douar Amzil Agadir,Agadir,
9559,Pharmacie Assoul,pharmacie,0528214671,bd Bir Anzarane Bloc n°11 Tikiouine Agadir - Maroc,Agadir,
1320,Pharmacie Aswak Assalam,pharmacie,0528292948,"hay Dakhla, Aswak Assalam Agadir",Agadir,
1387,Pharmacie Attadamoun,pharmacie,0528320335,"hay bensergao, résid. attadamoun 2, imm. bicha mag. 22, derrière jet sakin Agadir",Agadir,
1392,Pharmacie Attawhid,pharmacie,0528320002,"348 Bis, hay Al Houda, sect. E Agadir",Agadir,
1495,Pharmacie Azizi,pharmacie,0528239797,"3, bd Mansour Eddahbi, cité Dakhla Agadir",Agadir,
395,Pharmacie Aït Mhand,pharmacie,0528285090,Pharmacie Aït Mhand AGADIR,Agadir,
1587,Pharmacie Bachouch,pharmacie,0528238207,445 extention dakhla AGADIR,Agadir,
1962,Pharmacie Bouloiz,pharmacie,0528287283,"cité Drarga, n°40 lot. Alimam Fatima, rte Principale Agadir",Agadir,
2094,Pharmacie Cadi Ben Driss,pharmacie,0528233939,"hay dakhla, al fiddia i, derrière la gare routière AGADIR",Agadir,
2197,Pharmacie Chifa,pharmacie,0528223712,94 bd Hassan 1er cité Dakhla Agadir,Agadir,
2229,Pharmacie Chifa Al Farah,pharmacie,0528280159,"hay bensergao , hay el farah Agadir",Agadir,
2249,Pharmacie Chifa Al Farah,pharmacie,0528281384,Pharmacie Chifa Al Farah AGADIR,Agadir,
2290,Pharmacie Cité Suisse,pharmacie,0528827745,Pharmacie Cité Suisse AGADIR,Agadir,
2358,Pharmacie Dahabia,pharmacie,0528321426,"535, sect K , ElHouda Agadir",Agadir,
2391,Pharmacie Dakhla,pharmacie,0528222229,"14, rue al farabi, cité dakhla Agadir",Agadir,
2927,Pharmacie El Amri,pharmacie,0528225206,1 rue anzi cité salam AGADIR,Agadir,
10124,Pharmacie El Fayd,pharmacie,0528270338,"Bloc Anza Oulya , n°467 Quartier taddarte Agadir",Agadir,
3091,Pharmacie El Ouazzany,pharmacie,0528220681,"hay Mohammadi, résid. Fal Oumlil n°206 Agadir",Agadir,
3253,Pharmacie Ennajd,pharmacie,0528226907,"bd hassan 1er, 11 bloc g4 cité dakhla, en face sgmb agence dakhla AGADIR",Agadir,
3617,Pharmacie Extension Dakhla,pharmacie,0528239445,"Extension Dakhla , K1005 Agadir",Agadir,
3627,Pharmacie Faicel,pharmacie,0528238383,"1042 extension dakhla, avenue hassan premier, devant résidence al boustane AGADIR",Agadir,
3924,Pharmacie Hadrane,pharmacie,0528231012,"2 Bis, rue Ibn Al Arabi, z.i. Agadir",Agadir,
4213,Pharmacie Hay al farah,pharmacie,0528281915,"996, hay alfarah ben sergao Agadir",Agadir,
4591,Pharmacie Ibn Zouhr,pharmacie,0528235451,"229, rue Aglou, cité Essalam Agadir",Agadir,
5377,Pharmacie Jet Sakane,pharmacie,0528322064,"hay bensergao, jet sakane, m1 imm. n°42 salam houda AGADIR",Agadir,
5858,Pharmacie Lakhyam,pharmacie,0528220659,"70 bd mohamed el hansali, khiam 2 (autoroute lakhyam) Agadir",Agadir,
