nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,source_page
18-FDG RIM,250 MBQ   /    ML,SOLUTION INJECTABLE,FLUDESOXYGLUCOSE (18F),DIAGNOSTIC-IMAGERIE,RIM PHARMA,Commercialisé,AMM ENREGISTREE,FLACON MONO DOSE DE 15 ML,RX,4.303.00 DH,4.018.00 DH,3.827.33 DH,0%,-,1
18F PSMA RIM,250 MBQ  /   ML,SOLUTION INJECTABLE,[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,RIM PHARMA,AMM sans prix,AMM ENREGISTREE,BOITE D'UN FLACON MONODOSE DE 15 ML,RX,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
18F PSMA RIM,250 MBQ  /   ML,SOLUTION INJECTABLE,[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,RIM PHARMA,AMM sans prix,AMM ENREGISTREE,BOITE D'UN FLACON MULTIDOSE DE 15 ML,RX,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
18F-PSMA CYCLOPHARMA,1300 MBQ   /    ML,"SOLUTION INJECTABLE, FLACON MULTIDOSE DE 10 ML DE SOLUTION MAXIMUM.",[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,CYCLOPHARMA,AMM sans prix,AMM ENREGISTREE,"FLACON MULTIDOSE EN VERRE DE 15 ML , CONTIENT UN VOLUME COMPRIS ENTRE 0.5 ET 10 ML DE SOLUTION",RX,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
A.V.T.,"0,5 G  /  0,002 G  /  0,02 G",COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,LAPROPHAN,Commercialisé AO,AMM ENREGISTREE,BOITE DE 10,NA,"10,70 DH","6,70 DH","6,40 DH",0%,-,1
A.V.T.,"0,5 G  /  0,002 G  /  0,02 G",COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,LAPROPHAN,Commercialisé,AMM ENREGISTREE,BOITE DE 20,NA,"19,10 DH","12,00 DH","11,40 DH",0%,-,1
ABACT,1000   MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
ABACT,250   MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
ABACT,500   MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
ABBOTICINE,200   MG,GRANULE POUR SUSPENSION BUVABLE,ERYTHROMYCINE (ETHYLSUCCINATE),INFECTIOLOGIE-PARASITOLOGIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 60 ML,PP,"25,10 DH","15,70 DH","14,94 DH",0%,-,1
ABILIFY,10   MG,COMPRIME,ARIPIPRAZOLE,PSYCHIATRIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,PP,1.200.00 DH,"927,00 DH","883,18 DH",0%,-,1
ABILIFY,15   MG,COMPRIME,ARIPIPRAZOLE,PSYCHIATRIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,PP,1.200.00 DH,"927,00 DH","883,18 DH",0%,-,1
ABIP,15   MG,COMPRIMES PELLICULES,ARIPIPRAZOLE,PSYCHIATRIE,SUN PHARMACEUTICALS NORTH AFRICA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20 COMPRIMES PELLICULES,GN,"268,00 DH","168,00 DH","160,00 DH",0%,-,1
ABIP,15   MG,COMPRIMES PELLICULES,ARIPIPRAZOLE,PSYCHIATRIE,SUN PHARMACEUTICALS NORTH AFRICA,Commercialisé,AMM ENREGISTREE,BOITE DE 30 COMPRIMES PELLICULES,GN,"372,00 DH","247,00 DH","236,00 DH",0%,-,1
ABIRANAT,250   MG,COMPRIME,ABIRATERONE (ACETATE),CANCEROLOGIE,AMANYS PHARMA,Commercialisé,AMM ENREGISTREE,BOITE D’UN FLACON DE 120 COMPRIMES.,GN,10.411.00 DH,10.215.00 DH,9.815.00 DH,0%,-,1
ABIRATERONE GT,250   MG,COMPRIME,ABIRATERONE (ACETATE),CANCEROLOGIE,ATLAS PHARM,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 120,GN,10.411.00 DH,10.215.00 DH,9.815.00 DH,0%,-,1
ABSTRAL,100 µG,COMPRIME SUBLINGUAL,FENTANYL,ANESTHESIE-REANIMATION,SOTHEMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"876,00 DH","582,00 DH","554,62 DH",0%,-,1
ABSTRAL,200 µG,COMPRIME SUBLINGUAL,FENTANYL,ANESTHESIE-REANIMATION,SOTHEMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"876,00 DH","582,00 DH","554,62 DH",0%,-,1
ABSTRAL,400 µG,COMPRIME SUBLINGUAL,FENTANYL,ANESTHESIE-REANIMATION,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"876,00 DH","582,00 DH","554,62 DH",0%,-,1
ACARBOSE LAPROPHAN,100   MG,COMPRIME,ACARBOSE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"64,40 DH","40,20 DH","38,33 DH",0%,-,1
ACARBOSE LAPROPHAN,50   MG,COMPRIME,ACARBOSE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"42,20 DH","26,40 DH","25,15 DH",0%,-,2
ACARBOSE LAPROPHAN,100   MG,COMPRIME,ACARBOSE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 90,GN,"166,10 DH","103,80 DH","98,89 DH",0%,-,2
ACARBOSE LAPROPHAN,50   MG,COMPRIME,ACARBOSE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 90,GN,"109,00 DH","68,10 DH","64,88 DH",0%,-,2
ACARD,50   MG,COMPRIME PELLICULE,LOSARTAN (POTASSIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,MC PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,"40,00 DH","25,00 DH","23,79 DH",0%,-,2
ACARD,50   MG,COMPRIME PELLICULE,LOSARTAN (POTASSIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,MC PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"77,20 DH","48,20 DH","45,96 DH",0%,-,2
ACCUPRIL,20   MG,COMPRIME,QUINAPRIL,NA,PFIZER,Retiré du Marché,AMM RETIREE,BOITE DE 28,PP,"70,10 DH","43,80 DH","41,72 DH",0%,-,2
ACCUPRIL,5   MG,COMPRIME,QUINAPRIL,NA,PFIZER,Retiré du Marché,AMM RETIREE,BOITE DE 28,PP,"37,50 DH","23,40 DH","22,31 DH",0%,-,2
ACCURECIL,250   MG,SOLUTION POUR INJECTION / PERFUSION IV,FLUOROURACILE,CANCEROLOGIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,BOITE D'UN FLACON DE 5 ML,GN,"27,00 DH","16,90 DH","16,10 DH",0%,-,2
ACCURECIL,500   MG,SOLUTION POUR INJECTION / PERFUSION IV,FLUOROURACILE,CANCEROLOGIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,BOITE D'UN FLACON DE 10 ML,GN,"45,90 DH","28,70 DH","27,30 DH",0%,-,2
ACEPRIL,2   MG,COMPRIME,PERINDOPRIL (TERT-BUTYLAMINE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"44,00 DH","27,50 DH","26,19 DH",0%,-,2
ACEPRIL,4   MG,COMPRIME,PERINDOPRIL (TERT-BUTYLAMINE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"85,90 DH","53,70 DH","51,11 DH",0%,-,2
