code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique,classe_therapeutique,taux_remboursement_cnss
6118010138546,RIM,18-FDG RIM,FLUDESOXYGLUCOSE (18F),250BQ,ML,SOLUTION INJECTABLE,1 FLACON MONO DOSE 15 ML,4303.00,4018.00,,A,PRODUITS POUR DIAGNOSTIC,0
6118000010050,MAPHAR,ABBOTICINE,ERYTHROMYCINE,200,MG,GRANULE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,25.10,15.70,25.10,A,MACROLIDE,70
6118001183203,MAPHAR,ABILIFY 10 MG,ARIPIPRAZOLE,10,MG,COMPRIME,1 BOITE 28 COMPRIME,1200.00,927.00,,A,ANTIPSYCHOTIQUE,0
6118001183210,MAPHAR,ABILIFY 15 MG,ARIPIPRAZOLE,15,MG,COMPRIME,1 BOITE 28 COMPRIME,1200.00,927.00,,A,ANTIPSYCHOTIQUE,0
6118000440567,KEMIPHARM,ABIP 15 MG,ARIPIPRAZOLE,15,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,372.00,247.00,372.00,A,ANTIPSYCHOTIQUE,70
6118000440550,KEMIPHARM,ABIP 15 MG,ARIPIPRAZOLE,15,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE,268.00,168.00,268.00,A,ANTIPSYCHOTIQUE,70
6118001330867,AMANYS PHARMA,ABIRANAT 250 MG,ACETATE D'ABIRATERONE,250,MG,COMPRIME,1 FLACON 120 COMPRIME,10411.00,10215.00,10411.00,A,ANTINEOPLASIQUE ET IMMUNOMODULATEUR,70
6118000420422,ATLAS PHARM,ABIRATERONE GT 250 MG,ACETATE D'ABIRATERONE,250,MG,COMPRIME,1 BOITE 120 COMPRIME,10411.00,10215.00,10411.00,A,ANTINEOPLASIQUE ET IMMUNOMODULATEUR,70
6118001072330,SOTHEMA,ABSTRAL 100µG,FENTANYL,100,µG,COMPRIME SUBLINGUAL,1 BOITE 10 COMPRIME SUBLINGUAL,876.00,582.00,876.00,B,ANALGESIQUE OPIOIDE,70
6118001072347,SOTHEMA,ABSTRAL 200µG,FENTANYL,200,µG,COMPRIME SUBLINGUAL,1 BOITE 10 COMPRIME SUBLINGUAL,876.00,582.00,876.00,B,ANALGESIQUE OPIOIDE,70
6118001072354,SOTHEMA,ABSTRAL 400µG,FENTANYL,400,µG,COMPRIME SUBLINGUAL,1 BOITE 10 COMPRIME SUBLINGUAL,876.00,582.00,876.00,B,ANALGESIQUE OPIOIDE,70
6118010134258,LAPROPHAN,ACARBOSE LAPROPHAN,ACARBOSE,50,MG,COMPRIME,1 BOITE 30 COMPRIME,42.20,26.40,,A,ANTIDIABETIQUES,0
6118010134241,LAPROPHAN,ACARBOSE LAPROPHAN,ACARBOSE,100,MG,COMPRIME,1 BOITE 30 COMPRIME,64.40,40.20,,A,ANTIDIABETIQUES,0
6118010139901,LAPROPHAN,ACARBOSE LAPROPHAN,ACARBOSE,100,MG,COMPRIME,1 BOITE 90 COMPRIME,166.10,103.80,,A,ANTIDIABETIQUES,0
6118010139918,LAPROPHAN,ACARBOSE LAPROPHAN,ACARBOSE,50,MG,COMPRIME,1 BOITE 90 COMPRIME,109.00,68.10,,A,ANTIDIABETIQUES,0
6118000340669,MC PHARMA,ACARD 50 MG,LOSARTAN,50,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,77.20,48.20,77.20,A,ANTAGONISTE DE L'ANGIOTENSINE II,70
6118000340652,MC PHARMA,ACARD 50 MG,LOSARTAN,50,MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE,40.00,25.00,40.00,A,ANTAGONISTE DE L'ANGIOTENSINE II,70
6118001170371,PFIZER,ACCUPRIL,QUINAPRIL,5,MG,COMPRIME ENROBE SECABLE,1 BOITE 28 COMPRIME ENROBE,37.50,23.40,37.50,A,INHIBITEUR DE L ENZYME DE CONVERSION,70
6118001170388,PFIZER,ACCUPRIL,QUINAPRIL,20,MG,COMPRIME ENROBE SECABLE,1 BOITE 28 COMPRIME ENROBE,70.10,43.80,70.10,A,ANTIHYPERTENSEUR,70
6118001273669,ZENITH PHARMA,ACCURECIL 250 MG,FLUOROURACIL,250,MG,SOLUTION INJECTABLE POUR PERFUSION,1 BOITE 1 FLACON,27.00,16.90,27.00,A,ANTINEOPLASIQUE CYTOTOXIQUE,70
6118001273652,ZENITH PHARMA,ACCURECIL 500 MG,FLUOROURACIL,500,MG,SOLUTION INJECTABLE POUR PERFUSION,1 FLACON 10 ML,45.90,28.70,45.90,A,ANTINEOPLASIQUE CYTOTOXIQUE,70
6118000130802,GENPHARMA,ACEPRIL,PERINDOPRIL,8,MG,COMPRIME,1 BOITE 28 COMPRIME,133.10,83.20,133.10,A,INHIBITEUR DE L ENZYME DE CONVERSION,70
6118000130789,GENPHARMA,ACEPRIL,PERINDOPRIL,2,MG,COMPRIME,1 BOITE 28 COMPRIME,44.00,27.50,44.00,A,INHIBITEUR DE L ENZYME DE CONVERSION,70
6118000130796,GENPHARMA,ACEPRIL,PERINDOPRIL,4,MG,COMPRIME,1 BOITE 28 COMPRIME,85.90,53.70,85.90,A,INHIBITEUR DE L ENZYME DE CONVERSION,70
6118000130819,GENPHARMA,ACEPRIL PLUS,INDAPAMIDE, 1.25,MG,COMPRIME,1 BOITE 28 COMPRIME,118.00,73.70,118.00,A,INHIBITEUR DE L ENZYME DE CONVERSION,70
6118000130819,GENPHARMA,ACEPRIL PLUS,PERINDOPRIL,4 ,MG,COMPRIME,1 BOITE 28 COMPRIME,118.00,73.70,118.00,A,INHIBITEUR DE L ENZYME DE CONVERSION,70
6118000260172,SOLUDIA,ACETATE,CONCENTRE POUR HEMODIALYSE,,NA,SOLUTE CONCENTRE,1 BIDON 10 L,172.80,108.00,161.40,N,HEMODIALYSE,70
6118000260189,SOLUDIA,ACETATE,CONCENTRE POUR HEMODIALYSE,,NA,SOLUTE CONCENTRE,1 BIDON 10 L,172.80,108.00,161.40,N,HEMODIALYSE,70
