id,title,phone,address,address_2,ville,garde,query_point
8813,Comanet,0676460131,22  rue Ibn Habib  Maarif Casablanca - Maroc   ,Parapharmacie Comanet Casablanca,Casablanca,,Casablanca-Centre
8868,Mahasbeautyshop,0612925027,39  rue Omar Slaoui   3°ét.  n°7  Casablanca - Maroc   ,Parapharmacie Mahasbeautyshop Casablanca,Casablanca,,Casablanca-Centre
5087,Pharmacie du Dispensaire,0522384050,"110, rue Bachir Belhoucine, Jamila 4 Casablanca",Pharmacie du Dispensaire Casablanca,Casablanca,,Casablanca-Centre
8054,Pharmacie Innovation Sante,0522232251,Innovation Sante CASABLANCA,Pharmacie Innovation Sante Casablanca,Casablanca,,Casablanca-Centre
7859,Pharmacie les Galeries,0522796693,Pharmacie les Galeries CASABLANCA,Pharmacie les Galeries Casablanca,Casablanca,,Casablanca-Centre
8888,Laboratoires Technipharm,0522599876,1075  bd Mohammed VI   Resid. Fath Zhar  Mag N°84  Casablanca - Maroc   ,Parapharmacie Laboratoires Technipharm Casablanca,Casablanca,,Casablanca-Centre
8879,Jina Care,0522555554,hay Jamila V (cité Djemaa)   rue 135 n°11 Sbata Casablanca - Maroc   ,Parapharmacie Jina Care Casablanca,Casablanca,,Casablanca-Centre
6519,Pharmacie AlMaârouf,0522650837,Pharmacie AlMaârouf CASABLANCA,Pharmacie AlMaârouf Casablanca,Casablanca,,Casablanca-Centre
8874,Etape Beauté,0546217950,99 X bd d' Alsace (Mers Sultan)   Casablanca - Maroc   ,Parapharmacie Etape Beauté Casablanca,Casablanca,,Casablanca-Centre
2640,Pharmacie AlAntaria,0520308541,hay Antaria III   rue 8 n°46 Hay Mohammadi Casablanca,Pharmacie AlAntaria Casablanca,Casablanca,,Casablanca-Centre
8871,Global Ops,0808550218,avenue Mehdi Ben Berka -ex Cimetière - Casablanca   angle rue Abdellah Haddaoui  Quartier bourgogne Casablanca - Maroc   ,Parapharmacie Global Ops Casablanca,Casablanca,,Casablanca-Centre
7712,Pharmacie Abdou,0522385714,Pharmacie Abdou CASABLANCA,Pharmacie Abdou Casablanca,Casablanca,,Casablanca-Centre
8869,Distrisis,0522542361,19  avenue Haj Amar Riffi   1°ét.  Casablanca - Maroc   ,Parapharmacie Distrisis Casablanca,Casablanca,,Casablanca-Centre
8859,Fite Para,0522473384,17  rue Abbas Mahmoud El Akkad -ex Favre   Résid. Alcazar  Oasis Oasis Casablanca - Maroc   ,Parapharmacie Fite Para Casablanca,Casablanca,,Casablanca-Centre
8908,Maryland,0522540701,141  avenue Lalla Yacout  Derb omar Casablanca - Maroc   ,Parapharmacie Maryland Casablanca,Casablanca,,Casablanca-Centre
8852,Exovert Vital,0522938999,453  lotiss. Haj Fateh   mag. n°4  Casablanca - Maroc   ,Parapharmacie Exovert Vital Casablanca,Casablanca,,Casablanca-Centre
3369,Pharmacie du Carrefour,0522618365,"271, bd Ibn Tachfine  Casablanca",Pharmacie du Carrefour Casablanca,Casablanca,,Casablanca-Centre
3362,Pharmacie l'Epoque,0522743948,"lot. Anassi, résid. Ennahda Fb1 mag. n°7 Casablanca",Pharmacie l'Epoque Casablanca,Casablanca,,Casablanca-Centre
8851,Jannate Care,0666148380,2  rue Essanaoubar -ex Saint Dié - Casablanca   4°ét. appt. 12 c/o Fidutraco Consulting Quartier mers sultan 1 Casablanca - Maroc   ,Parapharmacie Jannate Care Casablanca,Casablanca,,Casablanca-Centre
